Time     Event           AGV ID   Edge     Battery  Status      
------------------------------------------------------------
08:04    Start Edge      AGV_2    3→6      40.0     Travelling  
08:08    Start Edge      AGV_3    7→8      39.0     Travelling  
08:09    Completed Edge  AGV_2    3→6      35.0     Busy        
08:09    Start Edge      AGV_2    6→5      32.0     Travelling  
08:14    Completed Edge  AGV_3    7→8      33.0     Busy        
08:17    Completed Edge  AGV_2    6→5      24.0     Busy        
08:17    Start Edge      AGV_2    5→8      24.0     Travelling  
08:25    Completed Edge  AGV_2    5→8      16.0     Busy        
08:25    Start Edge      AGV_3    8→5      33.0     Travelling  
08:31    Completed Edge  AGV_3    8→5      27.0     Busy        
08:31    Start Edge      AGV_3    5→6      27.0     Travelling  
08:37    Completed Edge  AGV_3    5→6      21.0     Busy        
08:37    Charge Start    AGV_3    -        27.0     Charging    
08:43    Charge Complete AGV_3    -        45       Free        
09:14    Start Edge      AGV_3    6→3      38.0     Travelling  
09:19    Start Edge      AGV_1    1→2      40.0     Travelling  
09:21    Completed Edge  AGV_3    6→3      31.0     Busy        
09:24    Completed Edge  AGV_1    1→2      35.0     Busy        
09:24    Start Edge      AGV_1    2→3      35.0     Travelling  
09:29    Completed Edge  AGV_1    2→3      30.0     Busy        
09:29    Start Edge      AGV_1    3→6      30.0     Travelling  
09:29    Start Edge      AGV_3    3→2      31.0     Travelling  
09:34    Completed Edge  AGV_1    3→6      25.0     Busy        
09:34    Start Edge      AGV_1    6→3      24.0     Travelling  
09:36    Completed Edge  AGV_3    3→2      24.0     Busy        
09:36    Start Edge      AGV_3    2→1      24.0     Travelling  
09:40    Completed Edge  AGV_1    6→3      18.0     Busy        
09:40    Start Edge      AGV_1    3→2      19.0     Travelling  
09:43    Completed Edge  AGV_3    2→1      17.0     Busy        
09:43    Charge Start    AGV_3    -        24.0     Charging    
09:45    Start Edge      AGV_2    8→7      14.0     Travelling  
09:45    Completed Edge  AGV_1    3→2      14.0     Busy        
09:45    Start Edge      AGV_1    2→5      13.0     Travelling  
09:50    Charge Complete AGV_3    -        45       Free        
09:50    Start Edge      AGV_3    1→2      35.0     Travelling  
09:51    Completed Edge  AGV_1    2→5      7.0      Busy        
09:55    Completed Edge  AGV_2    8→7      4.0      Busy        
09:55    Charge Start    AGV_2    -        14.0     Charging    
10:00    Completed Edge  AGV_3    1→2      25.0     Busy        
10:00    Start Edge      AGV_3    2→3      25.0     Travelling  
10:06    Charge Complete AGV_2    -        45       Free        
